nombre,long,lat,hora,NO2
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 16:00:00,72
Castellana,-3.690366666666667,40.43989722222222,2017-10-25 17:00:00,68
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 00:00:00,116
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 01:00:00,69
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 02:00:00,31
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 03:00:00,23
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 04:00:00,25
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 05:00:00,23
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 06:00:00,29
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 07:00:00,51
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 08:00:00,63
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 09:00:00,68
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 10:00:00,65
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 11:00:00,57
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 12:00:00,62
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 13:00:00,56
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 14:00:00,65
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 15:00:00,54
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 16:00:00,47
Parque del Retiro,-3.682583333333333,40.41444444444444,2017-10-25 17:00:00,41
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 00:00:00,90
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 01:00:00,69
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 02:00:00,31
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 03:00:00,20
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 04:00:00,23
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 05:00:00,20
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 06:00:00,43
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 07:00:00,60
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 08:00:00,75
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 09:00:00,77
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 10:00:00,42
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 11:00:00,35
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 12:00:00,34
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 13:00:00,48
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 14:00:00,42
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 15:00:00,47
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 16:00:00,59
Plaza Castilla,-3.6887694444444445,40.46557222222223,2017-10-25 17:00:00,69
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 00:00:00,96
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 01:00:00,79
Ensanche de Vallecas,-3.6121166666666666,40.372933333333336,2017-10-25 02:00:00,58
